kana,kanji,english,category,sound_file,note
かぜ,風,wind,Nouns,Kaiwa_Bunpo_L22/K22_07.mp3,k22-07
き,木,tree,,,
ボール,,ball,,,
さる,猿,monkey,,,
めんきょ,免許,license,,,
よしゅう,予習,perperation of a lesson,,,
ふくしゅう,復習,review of a lesson,,,
じゅく,塾,cram school,,,
えいかいわ,英会話,English conversation,,,
あいて,相手,partner; the other person,,,
おじょうさん,お嬢さん,(someone's) daughter (polite),,,
かみさま,神様,God,,,
せんぱい,先輩,senior member of a group,,,
こうはい,後輩,junior member of a groups,,,
ぶか,部下,subordinate,,,
うけつけ,受付,reception desk,,,
しょろい,書類,document,,,
プロジェクト,,project,,,
かじ,家事,house work,,,
ヨーロッパ,欧羅巴（rare）,Europe,,,
ひとりぐらし,一人暮らし,living alone,,,
じゆう,自由,freedom,,,
むだｄずかい,無駄遣い,waste (money),,,
うるさい,煩い（rare）,noisy; annoying,い-adjectives,,
しんぱい,心配,worried about (～が),な-adjectives,,
びんぼう,貧乏,poor,,,
ぺラぺラ,,fluent (language が),,,
らく,楽,easy; comfortable,,,
かぜがふく,風が吹く,the wind blows,U-verbs,,
コピーをとる,コピーを取る,to make a photocopy,,,
はこぶ,運ぶ,to carry (～を),,,
ひろう,拾う,to pick (something) (～を),,,
ほ（う）っておく,放っておく,to leave (someone/something) alone; to neglect (～を),,,
まにあう,間に合う,to be in time  (～に),,,
かつ,勝,to win (～に),,,
うける,受ける,to take (an examination)  (～を),Ru-verbs,,
けいかくをたてる,計画を立てる,to make a plan,,,
そだてう,育てる,to raise; to bring up (～を),,,
たすける,助ける,to help; to rescue (～を),,,
まける,負ける,to lose (a match) (～に),,,
おねがいする,お願いする,to requestion help (person に～を),Irregular_Verbs,,
さんせいする,賛成する,to agree (～に),,,
はんたいする,反対する,to oppose; to object to (～に),,,
しっぱいする,失敗する,to fail; to be unsuccessful,,,
てつやする,徹夜する,to stay up all night,,,
ほにゃくする,翻訳する,to translate (source と target に),,,
こんなふう,こんな風に（rare）,like this,Adverbs_and_Other_Expressions,,
じゆうに,自由に（rare）,freely,,,
ずっと,,for a long time; all the time,,,
ぜったいに,絶対に,definitely,,,
なんども,何度も,many times,,,
もうすこし,もう少し,a little more,,,
～とか,,…for example,,,
そんなこと（は）ない,そんな事はない（rare）,I don't think so.,,,
～ちゃん,,suffix for the names of children,,,
おおくの～,多くの～,many…,,,
