kana,kanji,english,category,sound_file,note
あかちゃん,赤ちゃん,baby,Nouns,Kaiwa_Bunpo_L17/K17_07.mp3,k17-05
おきゃくさん,お客さん,guest; vistor; client; customer,,,
しゅしょう,首相,prime minister,,,
セラリーマン,,salaryman; office worker,,,
きゅうりょう,給料,salary,,,
ざんぎょう,残業,overtime work,,,
パンダ,,panda,,,
コンタクト（レンズ）,,contact lenses,,,
ひげ,髭(rare),beard,,,
ブーツ,,boots,,,
かぎ,鍵,lock; key,,,
たからくじ,宝くじ,lottery,,,
かみ,紙,paper,,,
スプーン,,spoon,,,
おゆ,お湯,hot water,,,
でんしレンジ,電子レンジ,microwave oven,,,
ヒーター,,heater,,,
ニュース,,news,,,
かじ,火事,fire,,,
りょこうがいしゃ,旅行会社,travel agency,,,
ショッピングモール,,shopping mail,,,
りょう,寮,dormitory,,,
ちがい,違い,difference,,,
ひみつ,秘密,secret,,,
じゅんび,準備,preperation,,,
じぶん,自分,oneself,,,
あぶない,危ない,dangerous,い-adjectives,,
うらやましい,羨ましい,envious,,,
すくない,少ない,a little; a few,,,
つごうがわるい,都合が悪い,inconvenient; to have a scheduling conflict,,,
つよい,強い,strong,,,
さいあく,最悪,the worst,な-adjectives,,
えらぶ,選ぶ,to choose; to select (～を),U_verbs,,
おゆをわかす,お湯を沸かす,to boil water,,,
かみをとかす,髪をとかす,to comb one's hair,,,
ひげをそる,髭を剃る(rare),to shave one's beard,,,
ぬぐ,脱ぐ,to take off (clothes) (～を),,,
こむ,混む,to get crowded (～が),,,
たからくじにあたる,宝くじに当たる,to win a lottery,,,
いれる,入れる,"to make tea, coffee, etc. (～を)",Ru-verbs,,
うまれる,生まれる,to be born (～が),,,
かぎをかける,鍵をかける,to lock (～に),,,
たりる,足りる,to be sufficient; to be enough (～が),,,
なれる,慣れる,to get used to… (～に),,,
おいのりする,お祈りする,to pray (～に),Irregular_Verbs,,
けしょうする,化粧する,to put makeup on,,,
しゅうしょくする,就職する,to get a full-time job (at) (companyに),,,
りこんする,離婚する,to get a divorce (personと),,,
する,（e.g. ネクタイをする),"to wear small items (necktie, watchy, etc.) (～を)",,,
ずいぶん,随分(rare),very,Adverbs_and_Other_Expressions,,
たとえば,例えば,for example,,,
～にくらべて,～に比べて,compared with…,,,
～によると,,according to…,,,
まえ,まえ,before…,,,
やっぱり,矢っ張り(rare),after all,,,
～かな（あ）,,I wonder…(casual),,,
そうか,然うか(rare),I see.(casual),,,
おめだとうございます,お目出度う御座います(rare),Congratulations!,,,
