kana,kanji,english,category,sound_file,note
カーテン,,curtain,Nouns,Kaiwa_Bunpo_L18/K18_07.mp3,k18-07
ソファ,,sofa,,,
れいぞうこ,冷蔵庫,refrigerator,,,
スイッチ,,switch,,,
しょうゆ,醤油,soy sauce,,,
スープ,,soup,,,
バナナ,,banana,,,
ポップコーン,,popcorn,,,
シャンプー,,shampoo,,,
ろうそく,蝋燭（rare）,candle,,,
タオル,,towel,,,
スカート,,skirt,,,
にっき,日記,diary,,,
けいたい（でんわ）,携帯（電話）,cell phone,,,
さくら,桜,cherry blossom,,,
むし,虫,insect,,,
やちん,家賃,rent,,,
そと,外,outside,,,
おと,後,the rest,,,
ゆうがた,多方,evening,,,
あかるい,明るい,bright,い-adjectives,,
くらい,暗い,dark,,,
はずかしい,恥ずかしい,embarrasing,,,
たいせつ,大切,precious; important,な-adjectives,,
ふあん,不安,anxious; worried,,,
むり,無理,impossible,,,
あく,開く,(something) opens (～が),U_verbs,,
しまる,閉まる,(something) closes (～が),,,
あやまる,謝る,to apologize (personに),,,
おす,押す,to press; to push (～を),,,
おとす,落とす,to drop (something) (~を）,,,
おゆかわく,お湯が沸く,water boils,,,
ころぶ,転ぶ,to fall down,,,
こわす,壊す,to break (something) (～を),,,
さく,咲く,to bloom (～が),,,
たすかる,助かる,to be saved; to be helped,,,
たのむ,頼む,to ask (a favor) (personに～を),,,
つく,点く（rare）,(something) turns on (～が),,,
よごす,汚す,to make dirty （～を）,,,
おちる,落ちる,(something) drops (～が),Ru-verbs,,
かたづける,片付ける,to tidy up（～を）,,,
かんがえる,考える,to think (about); to consider,,,
きえる,消える,(something) goes off (～が),,,
こわれる,壊れる,(something) breaks (～が),,,
よごれる,汚れる,to become dirty (～が),,,
いますぐ,注文する,to place an order (～を),Irregular_Verbs,,
いまでに,今すぐ,right away,Adverbs_and_Other_Expressions,,
～までに,～迄に（rare）,by (time/date),,,
ほんとうに,本当に,really,,,
まず,先ず（rare）,first of all,,,
おかげで,お陰で(rare),thank to… (…の),,,
どうしよう,,What should I/we do?,,,
～（ん）だろう,,short form of ～（ん）でしょう,,,
おさきにしっれいします,お先に失礼します,"See you. (lit., I'm leaving ahead of you)",,,
おつかれさま（でした）,お疲れ様(でした),You must be tired after working so hard. (greeting between friends and coworkers),,,
