kana,kanji,english,category,sound_file,note
ちかん,痴漢（rare）,groper; pervert,Nouns,Kaiwa_Bunpo_L21/K21_07.mp3,k21-07
どろぼう,泥棒,thief; burglar,,,
はんにん,犯人,criminal,,,
どうりょう,同僚,colleague,,,
かいぎ,会議,business meeting; conference,,,
スピーチ,,speech,,,
か,蚊,mosquito,,,
ガソリン,,gasoline,,,
ポスター,,poster,,,
もんく,文句,complaint,,,
るす,留守,absence; not at home,,,
けいさつ,警察,police; police station,,,
せいふ,政府,government,,,
じゅぎょうりょう,授業料,tuition,,,
こうじょう,工場,factory,,,
かんきょう,環境,environment,,,
しゅうでん,終電,last train (of the day),,,
こと,事,things; matters,,,
むかし,昔,old days; past,,,
とおい,遠い,far (away),い-adjectives,,
ひどい,酷い（rare）,awful,,,
あんぜん,安全,safe,な-adjectives,,
めちゃくちゃ,目茶苦茶（rare）,messy; disorganized,,,
へん,変,strange; unusual,,,
おく,置く,to put; to lay; to place (place に object を),U-verbs,,
つつむ,包む,to wrap; to cover (～を),,,
はる,貼る,to post; to stick (place に object を),,,
やく,焼く,to bake; to burn; to grill (～を),,,
やる,遣る（rare）,"to give (to pets, plants, younger siblings, etc.)  (～を)",,,
ける,蹴る（rare）,to kick  (～を),,,
なぐる,殴る,to strike; to hit; to punch  (～を),,,
ふむ,踏む,to step on  (～を),,,
さす,刺す,to bite  (～を),,,
ぬすむ,盗む,to steal; to rob (～を),,,
さわる,触る,to touch (～に／を),,,
つかまる,捕まる,to be arrested; to be caught (～が),,,
きがつく,気が付く,to notice (～に),,,
ふる,振る（rare）,to turn down (somebody); to reject; to jilt (～を),,,
もんくをいう,文句を言う,to complain,,,
いじめる,苛める（rare）,to bully (～を),Ru-verbs,,
ほめる,褒める（rare）,to praise; to say nice things (～を),,,
きがえる,着替える,to change clothes,,,
しんじる,信じる,to believe (～を),,,
ためる,溜める（rare）,to save money (～を),,,
まちがえる,間違える,to make mistake (～を),,,
みつける,見つける,to find (～を),,,
くらべる,比べる,to compare (XとY～を),,,
ばかにする,馬鹿にする（rare）,to insult; to make a fool of… (～を),Irregular_Verbs,,
びっくりする,吃驚する（rare）,to be surprised (～に),,,
ひるねをする,昼寝をする,to take a nap,,,
れんらくする,連絡する,to contact (person に),,,
ごせんちゅう,午前中,in the morning,Adverbs_and_Other_Expressions,,
～こる,,time of …; when…,,,
すこし,少し,a little,,,
とにかく,兎に角（rare）,anyhow; anyway,,,
