kana,kanji,english,category,sound_file,note
おくさん,奥さん,wife (honorific),Nouns,Kaiwa_Bunpo_L14/K14_07.mp3,It is very important to keep track of the “;” seperators in the English definition.  This helps determine if you need an extra skip when you break apart the audio files.  This CSV did not generate a good enough export that 
ごしゅじん,ご主人,husband (honorific),,,
パートナー,,partner,,,
おじさん,伯父さん(rare),uncle; middle-aged man,,,
おばさん,伯母さん(rare),aunt; middle-aged woman,,,
りょうしん,両親,parents,,,
おおやさん,大家さん,landlord; landlady,,,
みなさん,皆さん,everyone; all of you,,,
チョコレート,,chocolate,,,
みかん,蜜柑(rare),mandarin orange,,,
トレーナー,,sweatshirt,,,
シヤツ,,shirt,,,
ネクタイ,,necktie,,,
マフラー,,winter scarf,,,
ゆびわ,指輪,ring,,,
えんぴつ,鉛筆,pencil,,,
ぬいぐるみ,縫いぐるみ(rare),stuffed animal (e.g. teddy bear),,,
まんが,漫画,comic book,,,
けしょうひん,化粧品,cosmetics,,,
ラジオ,,radio,,,
おさら,お皿,plate; dish,,,
おかえし,お返し,return (as a token of gratitude),,,
りれきしょ,履歴書,resume/cv,,,
クリスマス,,Christmas,,,
バレンタインデー,,Valantine’s Day,,,
ホワイトデー,,White Day,,,
ほしい,欲しい,to want (desired thing が),い-adjectives,,
おしゃれ,お洒落,fashionable; stylish,な-adjectives,,
けち,ケチ(hiragana is also common),stingy; cheap,,,
おくる,送る,to send,U-verbs,,
にあう,似合う,to look good on somebody (thing が）,,,
あきらめる,諦める,to give up (~を),Ru-verbs,,
あげる,上げる(rare),to give (to others) (person に thing を),,,
くれる,呉れる(rare),To give (to me) (person  thing を),,,
できる,出来る (rare),to come into existence; to be made (~が),,,
そうだんする,相談する,to consult (person に）,Irregular_Verbs,,
ちゅういする,注意する,To give warning (personに); to watch out (~に),,,
プロポーズする,,to propose marriage (person に),,,
〜くん,〜君,Mr;Ms. (casual),Adverbs_and_Other_Expressions,,
〜たち,〜達(rare),make a noun plural,,,
わたしたち,私達(私たちis common),we/us,,,
こんな~,,...like this; this kind of…,,,
きゅうに,急に,suddenly,,,
ちょうど,丁度 (rare),exactly,,,
よく,良く(rare),well,,,
さあ,,I am not sure…,,,
どうしたらいい,,what should one do,,,
〜こ,〜個,generic counter for smaller items,Counters,,
〜さつ,〜冊,counter for bound volumes,,,
〜だい,〜台,counter for equipment,,,
〜ひき,〜匹,counter for smaller animals,,,
〜ほん,〜本,counter for long objects,,,
